volcano_number	name	country	volcanic_region	volcano_type	tectonic_setting	evidence_category	elevation_m	last_eruption_year	longitude	latitude
342140	Flores	Guatemala	Central America Volcanic Arc	Volcanic field	Subduction zone / Continental crust (> 25 km)	Evidence Credible	1600		-89.992	14.308
342141	Tahual	Guatemala	Central America Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Credible	1716		-89.9	14.43
342150	Santiago, Cerro	Guatemala	Central America Volcanic Arc	Volcanic field	Subduction zone / Continental crust (> 25 km)	Evidence Credible	1192		-89.87	14.33
342160	Suchitan	Guatemala	Central America Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Evidence Credible	2042		-89.78	14.4
342170	Chingo	Guatemala-El Salvador	Central America Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Credible	1775		-89.73	14.12
342180	Ixtepeque	Guatemala	Central America Volcanic Arc	Lava dome(s)	Subduction zone / Continental crust (> 25 km)	Evidence Credible	1292		-89.68	14.42
343002	Singuil, Cerro	El Salvador	Central America Volcanic Arc	Volcanic field	Subduction zone / Continental crust (> 25 km)	Evidence Credible	926		-89.631	14.054
343010	Apaneca Range	El Salvador	Central America Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Evidence Credible	2028		-89.742	13.872
343020	Santa Ana	El Salvador	Central America Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	2381	2005	-89.63	13.853
343030	Izalco	El Salvador	Central America Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	1950	1966	-89.633	13.813
343041	Coatepeque Caldera	El Salvador	Central America Volcanic Arc	Caldera	Subduction zone / Continental crust (> 25 km)	Evidence Credible	746		-89.55	13.87
343050	San Salvador	El Salvador	Central America Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	1893	1917	-89.294	13.734
343051	Cinotepeque, Cerro	El Salvador	Central America Volcanic Arc	Volcanic field	Subduction zone / Continental crust (> 25 km)	Evidence Credible	665		-89.25	14.02
343060	Ilopango	El Salvador	Central America Volcanic Arc	Caldera	Subduction zone / Continental crust (> 25 km)	Eruption Observed	450	1880	-89.053	13.672
343070	San Vicente	El Salvador	Central America Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Credible	2149		-88.8375	13.5969
343072	Taburete	El Salvador	Central America Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Uncertain	1172		-88.532	13.435
